REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,IM,IM_FIO,AG,AG_FIO,IC,IC_FIO,COM,C2_5
1,45,09807247,1027739082106,1,044525545,2/1/2011,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",Председатель Правления,М.Ю. Алексеев,"Главный бухгалтер, Директор департамета ДБУиО",О.А. Гончарова,Начальник Управления,Г.Е. Чернышева,258-65-04,15
2,40,11157058,1027800000250,2,044030869,2/1/2011,"ЗАО ""КАБ ""Викинг""","191002 Санкт-Петербург, Владимирский пр. дом 17",Заместитель Председателя Правления,Мунтян Ю.В.,Главный бухгалтер,Зимина Е.Я.,Нач. отдела,Абакумова Т.А.,320-33-20(7154),31
5,45,09808117,1027739069478,5,044583501,2/1/2011,"Банк ""Кредит-Москва"" (ОАО)","115054,  г. Москва, 6-й Монетчиковский пер., д. 8, стр. 1",Директор,О.И. Лыгина,Главный бухгалтер,Т.Е. Терентьева,Экономист Отдела отчетности,Д.В. Смоляк,72-707-72,31
18,45,06905897,1037711012525,18,044585718,2/1/2011,"ОАО КБ ""Стройкредит""","123022, г. Москва, ул. Красная Пресня, дом 22",Председатель Правления,Прыгаев Юрий Николаевич,Главный бухгалтер,Осипова Ирина Ивановна,Начальник управления финансовой отчетности,Князева Любовь Петровна,(495) 730-44-27,19
21,05,09241840,1022500001325,21,040502717,2/1/2011,"ООО ""Примтеркомбанк""","690091, Приморский край, г. Владивосток, ул. Адмирала Фокина, 25",Председатель Правления,Колдин А.М.,Главный бухгалтер,Сима О.А.,Нач.отдела налог.учета и отчетности,Андриянова И.В.,26-98-31*114,21
23,36,09806035,1026300002200,23,043678700,2/1/2011,ОАО Банк АВБ,"445021, Самарская обл., г.Тольятти, ул.Голосова, 26 А",Руководитель,Е.П. Казымова,Зам.главного бухгалтера,О.С. Дедова,Исполнитель,А.Ю. Гараев,40-76-86,15
52,40,05437279,1027800001261,52,044030754,2/1/2011,"ОАО ""Энергомашбанк""","195027 Санкт-Петербург, Свердловская наб., 44, лит.Щ",Первый зам. Ген. директора - Пред. Правления,Ветров Г.И.,Главный бухгалтер,Лапина В.И.,Исполнитель,Коровина Ольга Дмитриевна,303-89-21,31
53,40,05435949,1027800000194,53,044030755,2/1/2011,"ОАО Банк ""АЛЕКСАНДРОВСКИЙ""","191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",Первый Заместитель Председателя Правления,Попкова Л.П.,Главный бухгалтер,Полевова Л. Н.,Исполнитель,Давыдова О.В.,334-81-52,30
55,45,09806271,1027739270294,55,044583303,2/1/2011,"ОАО МАБ ""Темпбанк""","109044,  г. Москва, ул. Крутицкий вал, д. 26, строение 2",Председатель Правления,Гаглоев М.Г.,Главный бухгалтер,Кашуба М.В.,Начальник управления,Пернеровская Т.В.,676-2100,21
65,65,09806207,1026600001955,65,046577768,2/1/2011,"ООО КБ ""КОЛЬЦО УРАЛА""","620075, Свердловская область, г.Екатеринбург, ул. Горького, д.7",Заместитель Председателя Правления,Н.Н. Валахович,Главный бухгалтер,Е. О. Даринцев,Ведущий экономист,Н.В.Плетнева,(343) 378-40-90,25
67,92,09265947,1021600000289,67,049205770,2/1/2011,"АКБ ""Энергобанк"" (ОАО)","420021, г.Казань, ул.Сары Садыковой, д.32",Руководитель,Вагизов Д.И.,Главный бухгалтер,Ягофарова Ф.И.,экономист,Колесникова Ю. С.,231-60-92,15
77,45,05838400,1027700568224,77,044583125,2/1/2011,МОРСКОЙ БАНК (ОАО),"127055,  г. Москва, ул. Сущевская,  д. 19, стр. 7",Заместитель Председателя Правления,Кузина О.Н.,Заместитель Главного бухгалтера,Леден?ва И.М.,Начальник отдела финансовой отчетности,Москвич?ва О.Б.,777-11-77,15
84,08,09806673,1022700000025,84,040813718,2/1/2011,"ОАО ""Далькомбанк""","680000, Хабаровский край, г. Хабаровск, ул.Гоголя, 27",И.о.Президента,Кулешов Андрей Павлович,Главный бухгалтер,Ламанова Любовь Ивановна,Главный экономист,Ковалева Марина Сергеевна,38-06-38,20
85,05,09241863,1022500001930,85,040518780,2/1/2011,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",Президент банка,Савченко О.В.,Главный бухгалтер,Агеева Г.А.,Зам. начальника отдела кредитования,Гринева-Исупова О.А.,(42335)55491,15
96,32,09806360,1024200001891,96,043207720,2/1/2011,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",Зам.генерального директора,Брезгина Е.Л.,Главный бухгалтер,Колочкова М.М.,Начальник отдела казначейства,Кайгородов Андрей Михайлович,36-01-94,16
101,50,16578422,1055400000369,101,045005820,2/1/2011,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",И.о. Генерального директора,Ивлев С.В.,Главный бухгалтер,Сусин Д.Д.,Начальник ОФО,Сидометова Ю.А.,230-55-01(вн.18-68),18
103,45,29313458,1027739480548,103,044585749,2/1/2011,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",Председатель Правления,Артемьев Э.Ю.,Главный бухгалтер,Трещалина Т.К.,Главный экономист,Дмитриева О.Н.,785-07-05,15
106,60,09806526,1026100002026,106,046015860,2/1/2011,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",Председатель Правления,Хлус В.М.,Главный бухгалтер,Краснорепова Е.В.,Исполнитель,Никифорова О.Н.,254-57-33,20
107,27,09806319,1023900001070,107,042748737,2/1/2011,"АКБ ""Инвестбанк"" (ОАО)","236006, г.Калининград, Ленинский проспект,28","Заместитель Председателя Правления АКБ ""Инвестбанк"" (ОАО)",Козаченко О.С.,Главный бухгалтер,Пенкина А.Ю.,Исполнитель,Кочановская Т.В.,998-624,31
121,45,09806868,1027739198387,121,044525514,2/1/2011,"ЗАО АКБ ""ЦентроКредит""","119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",Первый заместитель Председателя Правления,Зимина Л.В.,Главный бухгалтер- начальник Управления бухгалтерского учета и отчетности,Перепилицына Н.В.,Начальник Отдела сводной бухгалтерской отчетности,Куликова Н.В.,956-86-26,31
138,41,09806957,1027800004517,138,044106725,2/1/2011,"ОАО ""Рускобанк""","188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",Директор,Нечаева Л.В.,И.о. главного бухгалтера,Тарасова Е.В.,Начальник управления,Боголюбова М.А.,242-01-74,31
142,05,09806970,1032500000532,142,040502713,2/1/2011,"ЗАО ПТКБ ""МЕРКУРИЙ""","690003, г.Владивосток, ул.Станюковича, 3",Президент,Шевыр?в В.В.,Главный бухгалтер,Сорокина Н.Н.,Ведущий экономист отдела активных операций,Боев В.И.,607-253,15
153,65,09808005,1026600000602,153,046568782,2/1/2011,"ЗАО ""Уралприватбанк""","Россйская Федерация, 620219, город Екатеринбург, ул. Первомайская, д. 26",Председатель Правления,Денисов Ю.П.,Главный бухгалтер,Гайсина Р.Р.,Начальник отдела,Камаева Л.С.,385-08-91,27
155,45,09806153,1027739284099,155,044552108,2/1/2011,"ООО КБСИ ""Стройиндбанк""","109004, Москва, ул. Александра Солженицына, д. 8, стр. 1",Председатель,Саввин А.Г.,Главный бухгалтер,Черняева Е.В.,Нач.Упр.,Асланов А.Л.,9117451,15
