REGN,C1_3,C2_3,C3_3
1,Í1,12.14,
1,Í2,105.66,
1,Í3,84.03,
1,Í4,97.67,
1,Í7,172.66,
1,Í9.1,0.00,
1,Ò1,1218.00,
1,Ò2,109.00,
1,Í10.1,0.22,
1,Í12,15.45,
1,Í17,73.62,
1,Í18,108.83,
1,Í19,0.00,
2,Í1,39.01,
2,Í2,21.24,
2,Í3,69.39,
2,Í4,84.74,
2,Í7,156.56,
2,Í9.1,0.10,
2,Í10.1,0.06,
2,Í12,0.00,
5,Í1,13.38,
5,Í2,70.29,
5,Í3,105.15,
5,Í4,65.67,
5,Í7,300.64,
5,Í9.1,1.31,
5,Í10.1,1.76,
5,Í12,0.00,
18,Í1,11.37,
18,Í2,66.60,
18,Í3,68.22,
18,Í4,60.63,
18,Í7,354.50,
18,Í9.1,0.00,
18,Í10.1,1.56,
18,Í12,0.00,
21,Í1,24.63,
21,Í2,78.71,
21,Í3,88.27,
21,Í4,72.41,
21,Í7,185.64,
21,Í9.1,0.00,
21,Í10.1,1.93,
21,Í12,0.00,
23,Í1,13.17,
23,Í2,44.75,
23,Í3,154.56,
23,Í4,38.57,
23,Í7,561.98,
23,Í9.1,0.01,
23,Í10.1,0.73,
23,Í12,0.00,
52,Í1,11.59,
52,Í2,70.96,
52,Í3,77.21,
52,Í4,80.73,
52,Í7,415.44,
52,Í9.1,0.03,
52,Í10.1,1.30,
52,Í12,0.00,
53,Í1,11.82,
53,Í2,42.60,
53,Í3,73.85,
53,Í4,53.69,
53,Í7,546.43,
53,Í9.1,0.04,
53,Í10.1,1.07,
53,Í12,0.00,
55,Í1,14.63,
55,Í2,63.91,
55,Í3,62.35,
55,Í4,86.00,
55,Í7,317.06,
55,Í9.1,4.73,
55,Í10.1,0.70,
55,Í12,0.00,
65,Í1,15.77,
65,Í2,63.52,
65,Í3,92.24,
65,Í4,65.14,
65,Í7,265.97,
65,Í9.1,0.00,
65,Í10.1,1.77,
65,Í12,0.00,
67,Í1,22.12,
67,Í2,27.09,
67,Í3,53.12,
67,Í4,118.75,
67,Í7,228.32,
67,Í9.1,0.00,
67,Í10.1,0.23,
67,Í12,0.00,
77,Í1,11.33,
77,Í2,24.36,
77,Í3,73.49,
77,Í4,91.51,
77,Í7,543.58,
77,Í9.1,0.00,
77,Í10.1,0.59,
77,Í12,0.00,
84,Í1,12.17,
84,Í2,47.88,
84,Í3,81.26,
84,Í4,82.62,
84,Í7,74.32,
84,Í9.1,4.03,
84,Í10.1,1.70,
84,Í12,0.00,
85,Í1,15.62,
85,Í2,47.79,
85,Í3,104.78,
85,Í4,49.90,
85,Í7,292.01,
85,Í9.1,0.00,
85,Í10.1,2.08,
85,Í12,0.00,
96,Í1,21.56,
96,Í2,61.89,
96,Í3,141.20,
96,Í4,50.65,
96,Í7,279.92,
96,Í9.1,0.00,
96,Í10.1,2.30,
96,Í12,0.00,
101,Í1,23.69,
101,Í2,52.30,
101,Í3,103.45,
101,Í4,1.05,
101,Í7,222.94,
101,Í9.1,5.34,
101,Í10.1,0.77,
101,Í12,0.00,
103,Í1,27.88,
103,Í2,42.30,
103,Í3,76.68,
103,Í4,41.43,
103,Í7,211.51,
103,Í9.1,0.00,
103,Í10.1,0.42,
103,Í12,0.00,
106,Í1,31.47,
106,Í2,63.15,
106,Í3,99.28,
106,Í4,29.58,
106,Í7,205.49,
106,Í9.1,1.16,
106,Í10.1,1.34,
107,Í1,11.76,
107,Í2,81.03,
107,Í3,110.17,
107,Í4,61.07,
107,Í7,405.83,
107,Í9.1,7.84,
107,Í10.1,0.19,
107,Í12,1.74,
121,Í1,61.07,
121,Í2,140.91,
121,Í3,136.11,
121,Í4,10.21,
121,Í7,92.92,
121,Í9.1,4.05,
121,Í10.1,0.09,
121,Í12,0.17,
138,Í1,11.68,
138,Í2,27.70,
138,Í3,67.98,
138,Í4,96.07,
138,Í7,311.23,
138,Í9.1,0.00,
138,Í10.1,0.74,
138,Í12,0.00,
142,Í1,90.92,
142,Í2,127.71,
142,Í3,134.64,
142,Í4,44.56,
142,Í7,25.88,
142,Í9.1,2.80,
142,Í10.1,2.63,
142,Í12,0.00,
149,Í1,88.08,
149,Í2,126.89,
149,Í3,256.75,
149,Í4,51.93,
149,Í7,6.49,
149,Í9.1,0.00,
149,Í10.1,0.00,
149,Í12,0.00,
153,Í1,16.19,
153,Í2,89.17,
153,Í3,108.67,
153,Í4,52.23,
153,Í7,312.90,
153,Í9.1,2.93,
153,Í10.1,1.48,
153,Í12,0.00,
155,Í1,36.39,
155,Í2,37.99,
155,Í3,99.89,
155,Í4,10.00,
155,Í7,72.38,
155,Í9.1,0.00,
155,Í10.1,0.00,
155,Í12,0.00,
170,Í1,133.07,
