REGN,C1_5
1,3/6/2011
1,3/7/2011
1,3/8/2011
1,3/12/2011
1,3/13/2011
1,3/19/2011
1,3/20/2011
1,3/26/2011
1,3/27/2011
18,3/8/2011
18,3/13/2011
18,3/20/2011
18,3/27/2011
21,3/6/2011
21,3/7/2011
21,3/8/2011
21,3/13/2011
21,3/20/2011
21,3/27/2011
23,3/6/2011
23,3/7/2011
23,3/8/2011
23,3/12/2011
23,3/13/2011
23,3/19/2011
23,3/20/2011
23,3/26/2011
23,3/27/2011
55,3/6/2011
55,3/7/2011
55,3/8/2011
55,3/13/2011
55,3/20/2011
55,3/27/2011
65,3/7/2011
65,3/8/2011
67,3/6/2011
67,3/7/2011
67,3/8/2011
67,3/12/2011
67,3/13/2011
67,3/19/2011
67,3/20/2011
67,3/26/2011
67,3/27/2011
77,3/6/2011
77,3/7/2011
77,3/8/2011
77,3/12/2011
77,3/13/2011
77,3/19/2011
77,3/20/2011
77,3/26/2011
77,3/27/2011
84,3/8/2011
84,3/13/2011
84,3/20/2011
84,3/27/2011
85,3/6/2011
85,3/7/2011
85,3/8/2011
85,3/12/2011
85,3/13/2011
85,3/19/2011
85,3/20/2011
85,3/26/2011
85,3/27/2011
96,3/6/2011
96,3/7/2011
96,3/8/2011
96,3/12/2011
96,3/13/2011
96,3/19/2011
96,3/20/2011
96,3/26/2011
96,3/27/2011
101,3/6/2011
101,3/7/2011
101,3/8/2011
101,3/13/2011
101,3/20/2011
101,3/27/2011
103,3/6/2011
103,3/7/2011
103,3/8/2011
103,3/12/2011
103,3/13/2011
103,3/19/2011
103,3/20/2011
103,3/26/2011
103,3/27/2011
106,3/6/2011
106,3/7/2011
106,3/8/2011
106,3/13/2011
106,3/20/2011
106,3/27/2011
142,3/6/2011
142,3/7/2011
142,3/8/2011
142,3/12/2011
142,3/13/2011
142,3/19/2011
142,3/20/2011
142,3/26/2011
142,3/27/2011
155,3/6/2011
155,3/7/2011
155,3/8/2011
155,3/12/2011
155,3/13/2011
155,3/19/2011
155,3/20/2011
155,3/26/2011
155,3/27/2011
170,3/6/2011
170,3/7/2011
170,3/8/2011
170,3/12/2011
170,3/13/2011
170,3/19/2011
170,3/20/2011
170,3/26/2011
170,3/27/2011
184,3/6/2011
184,3/7/2011
184,3/8/2011
184,3/12/2011
184,3/13/2011
184,3/19/2011
184,3/20/2011
184,3/26/2011
184,3/27/2011
197,3/6/2011
197,3/7/2011
197,3/8/2011
197,3/12/2011
197,3/13/2011
197,3/19/2011
197,3/20/2011
197,3/26/2011
197,3/27/2011
208,3/6/2011
208,3/7/2011
208,3/8/2011
208,3/12/2011
208,3/13/2011
208,3/19/2011
208,3/20/2011
208,3/26/2011
208,3/27/2011
226,3/6/2011
226,3/7/2011
226,3/8/2011
226,3/12/2011
226,3/13/2011
226,3/19/2011
226,3/20/2011
226,3/26/2011
226,3/27/2011
232,3/6/2011
232,3/7/2011
232,3/8/2011
232,3/12/2011
232,3/13/2011
232,3/19/2011
232,3/20/2011
232,3/26/2011
232,3/27/2011
236,3/6/2011
236,3/7/2011
236,3/8/2011
236,3/12/2011
236,3/13/2011
236,3/19/2011
236,3/20/2011
236,3/26/2011
236,3/27/2011
249,3/6/2011
249,3/7/2011
249,3/8/2011
249,3/13/2011
249,3/20/2011
249,3/27/2011
256,3/6/2011
256,3/7/2011
256,3/8/2011
256,3/12/2011
256,3/13/2011
256,3/19/2011
256,3/20/2011
256,3/26/2011
256,3/27/2011
272,3/6/2011
272,3/7/2011
272,3/8/2011
272,3/12/2011
272,3/13/2011
272,3/19/2011
272,3/20/2011
272,3/26/2011
272,3/27/2011
286,3/6/2011
286,3/7/2011
286,3/8/2011
286,3/12/2011
286,3/13/2011
286,3/19/2011
286,3/20/2011
286,3/26/2011
286,3/27/2011
312,3/6/2011
312,3/7/2011
312,3/8/2011
312,3/13/2011
312,3/20/2011
312,3/27/2011
324,3/6/2011
324,3/7/2011
324,3/8/2011
324,3/12/2011
324,3/13/2011
324,3/19/2011
324,3/20/2011
324,3/26/2011
324,3/27/2011
330,3/6/2011
330,3/7/2011
330,3/8/2011
330,3/12/2011
330,3/13/2011
330,3/19/2011
330,3/20/2011
330,3/26/2011
330,3/27/2011
347,3/6/2011
347,3/7/2011
347,3/8/2011
347,3/12/2011
347,3/13/2011
347,3/19/2011
347,3/20/2011
347,3/26/2011
347,3/27/2011
356,3/6/2011
356,3/7/2011
356,3/8/2011
356,3/12/2011
356,3/13/2011
356,3/19/2011
356,3/20/2011
356,3/26/2011
356,3/27/2011
370,3/6/2011
370,3/7/2011
370,3/8/2011
370,3/12/2011
370,3/13/2011
370,3/19/2011
370,3/20/2011
370,3/26/2011
370,3/27/2011
384,3/8/2011
385,3/6/2011
385,3/7/2011
385,3/8/2011
385,3/12/2011
385,3/13/2011
385,3/19/2011
385,3/20/2011
385,3/26/2011
385,3/27/2011
404,3/7/2011
404,3/8/2011
404,3/13/2011
404,3/20/2011
404,3/27/2011
410,3/6/2011
410,3/7/2011
410,3/8/2011
410,3/13/2011
410,3/20/2011
410,3/27/2011
430,3/6/2011
430,3/7/2011
430,3/8/2011
430,3/12/2011
430,3/13/2011
430,3/19/2011
430,3/20/2011
430,3/26/2011
430,3/27/2011
435,3/6/2011
435,3/7/2011
435,3/8/2011
435,3/12/2011
435,3/13/2011
435,3/19/2011
435,3/20/2011
435,3/26/2011
435,3/27/2011
436,3/6/2011
436,3/7/2011
436,3/8/2011
436,3/12/2011
436,3/13/2011
436,3/19/2011
436,3/20/2011
436,3/26/2011
436,3/27/2011
438,3/6/2011
438,3/7/2011
438,3/8/2011
438,3/12/2011
438,3/13/2011
438,3/19/2011
438,3/20/2011
438,3/26/2011
438,3/27/2011
444,3/7/2011
444,3/8/2011
444,3/13/2011
444,3/20/2011
444,3/27/2011
456,3/8/2011
456,3/13/2011
456,3/27/2011
459,3/6/2011
459,3/7/2011
459,3/8/2011
459,3/13/2011
459,3/20/2011
459,3/27/2011
466,3/6/2011
466,3/7/2011
466,3/8/2011
466,3/12/2011
466,3/13/2011
466,3/19/2011
466,3/20/2011
466,3/26/2011
466,3/27/2011
467,3/6/2011
467,3/7/2011
467,3/8/2011
467,3/12/2011
467,3/13/2011
467,3/19/2011
467,3/20/2011
467,3/26/2011
467,3/27/2011
469,3/8/2011
469,3/13/2011
469,3/20/2011
469,3/27/2011
474,3/6/2011
474,3/7/2011
474,3/8/2011
474,3/13/2011
474,3/20/2011
474,3/27/2011
478,3/5/2011
478,3/6/2011
478,3/8/2011
478,3/12/2011
478,3/13/2011
478,3/19/2011
478,3/20/2011
478,3/26/2011
478,3/27/2011
480,3/6/2011
480,3/7/2011
480,3/8/2011
480,3/12/2011
480,3/13/2011
480,3/19/2011
480,3/20/2011
480,3/26/2011
480,3/27/2011
481,3/6/2011
481,3/7/2011
481,3/8/2011
481,3/12/2011
481,3/13/2011
481,3/19/2011
481,3/20/2011
481,3/26/2011
481,3/27/2011
485,3/8/2011
503,3/8/2011
507,3/6/2011
507,3/7/2011
507,3/8/2011
507,3/12/2011
507,3/13/2011
507,3/19/2011
507,3/20/2011
507,3/26/2011
507,3/27/2011
514,3/6/2011
514,3/7/2011
514,3/8/2011
514,3/12/2011
514,3/13/2011
514,3/19/2011
514,3/20/2011
514,3/26/2011
514,3/27/2011
518,3/6/2011
518,3/7/2011
518,3/8/2011
518,3/12/2011
518,3/13/2011
518,3/19/2011
518,3/20/2011
518,3/26/2011
518,3/27/2011
520,3/6/2011
520,3/7/2011
520,3/8/2011
520,3/12/2011
520,3/13/2011
520,3/19/2011
520,3/20/2011
520,3/26/2011
520,3/27/2011
524,3/6/2011
524,3/7/2011
524,3/8/2011
524,3/12/2011
524,3/13/2011
524,3/19/2011
524,3/20/2011
524,3/26/2011
524,3/27/2011
531,3/6/2011
531,3/7/2011
531,3/8/2011
531,3/12/2011
531,3/13/2011
531,3/19/2011
531,3/20/2011
531,3/26/2011
531,3/27/2011
533,3/6/2011
533,3/7/2011
533,3/8/2011
533,3/12/2011
533,3/13/2011
533,3/19/2011
533,3/20/2011
533,3/26/2011
533,3/27/2011
537,3/8/2011
538,3/6/2011
538,3/7/2011
538,3/8/2011
538,3/13/2011
538,3/20/2011
538,3/27/2011
539,3/8/2011
539,3/13/2011
539,3/20/2011
539,3/27/2011
543,3/6/2011
543,3/7/2011
543,3/8/2011
543,3/12/2011
543,3/13/2011
543,3/19/2011
543,3/20/2011
543,3/26/2011
543,3/27/2011
545,3/6/2011
545,3/7/2011
545,3/8/2011
545,3/12/2011
545,3/13/2011
545,3/19/2011
545,3/20/2011
545,3/26/2011
545,3/27/2011
546,3/6/2011
546,3/13/2011
546,3/20/2011
546,3/27/2011
548,3/6/2011
548,3/7/2011
548,3/8/2011
548,3/12/2011
548,3/13/2011
548,3/19/2011
548,3/20/2011
548,3/26/2011
548,3/27/2011
554,3/7/2011
554,3/8/2011
554,3/13/2011
554,3/20/2011
554,3/27/2011
567,3/6/2011
567,3/7/2011
567,3/8/2011
567,3/12/2011
567,3/13/2011
567,3/19/2011
567,3/20/2011
567,3/26/2011
567,3/27/2011
568,3/6/2011
568,3/7/2011
568,3/8/2011
568,3/12/2011
568,3/13/2011
568,3/19/2011
568,3/20/2011
568,3/26/2011
568,3/27/2011
570,3/6/2011
570,3/7/2011
570,3/8/2011
570,3/12/2011
570,3/13/2011
570,3/19/2011
570,3/20/2011
570,3/26/2011
570,3/27/2011
574,3/6/2011
574,3/7/2011
574,3/8/2011
574,3/12/2011
574,3/13/2011
574,3/19/2011
574,3/20/2011
574,3/26/2011
574,3/27/2011
575,3/7/2011
575,3/8/2011
575,3/13/2011
575,3/20/2011
575,3/27/2011
588,3/8/2011
589,3/8/2011
594,3/6/2011
594,3/7/2011
594,3/8/2011
594,3/12/2011
594,3/13/2011
594,3/19/2011
594,3/20/2011
594,3/26/2011
594,3/27/2011
596,3/7/2011
598,3/6/2011
598,3/7/2011
598,3/8/2011
598,3/12/2011
598,3/13/2011
598,3/19/2011
598,3/20/2011
598,3/26/2011
598,3/27/2011
606,3/7/2011
606,3/8/2011
606,3/13/2011
606,3/20/2011
606,3/27/2011
608,3/6/2011
608,3/7/2011
608,3/8/2011
608,3/12/2011
608,3/13/2011
608,3/19/2011
608,3/20/2011
608,3/26/2011
608,3/27/2011
622,3/6/2011
622,3/7/2011
622,3/8/2011
622,3/12/2011
622,3/13/2011
622,3/19/2011
622,3/20/2011
622,3/26/2011
622,3/27/2011
625,3/6/2011
625,3/7/2011
625,3/8/2011
625,3/13/2011
625,3/20/2011
625,3/27/2011
637,3/6/2011
637,3/7/2011
637,3/9/2011
637,3/13/2011
637,3/20/2011
637,3/27/2011
639,3/6/2011
639,3/7/2011
639,3/8/2011
639,3/12/2011
639,3/13/2011
639,3/19/2011
639,3/20/2011
639,3/26/2011
639,3/27/2011
650,3/6/2011
650,3/7/2011
650,3/8/2011
650,3/12/2011
650,3/13/2011
650,3/19/2011
650,3/20/2011
650,3/26/2011
650,3/27/2011
653,3/8/2011
654,3/6/2011
654,3/7/2011
654,3/8/2011
654,3/12/2011
654,3/13/2011
654,3/19/2011
654,3/20/2011
654,3/26/2011
654,3/27/2011
655,3/6/2011
655,3/7/2011
655,3/8/2011
655,3/12/2011
655,3/13/2011
655,3/19/2011
655,3/20/2011
655,3/26/2011
655,3/27/2011
665,3/6/2011
665,3/7/2011
665,3/8/2011
665,3/12/2011
665,3/13/2011
665,3/19/2011
665,3/20/2011
665,3/26/2011
665,3/27/2011
671,3/6/2011
671,3/7/2011
671,3/8/2011
671,3/12/2011
671,3/13/2011
671,3/19/2011
671,3/20/2011
671,3/26/2011
671,3/27/2011
680,3/6/2011
680,3/7/2011
680,3/8/2011
680,3/13/2011
680,3/20/2011
680,3/27/2011
684,3/6/2011
684,3/7/2011
684,3/8/2011
684,3/12/2011
684,3/13/2011
684,3/19/2011
684,3/20/2011
684,3/26/2011
684,3/27/2011
685,3/6/2011
685,3/8/2011
685,3/13/2011
685,3/20/2011
685,3/27/2011
695,3/6/2011
695,3/7/2011
695,3/8/2011
695,3/12/2011
695,3/13/2011
695,3/19/2011
695,3/20/2011
695,3/26/2011
695,3/27/2011
695,3/28/2011
696,3/6/2011
696,3/7/2011
696,3/8/2011
696,3/12/2011
696,3/13/2011
696,3/19/2011
696,3/20/2011
696,3/26/2011
696,3/27/2011
702,3/6/2011
702,3/8/2011
702,3/13/2011
702,3/20/2011
702,3/27/2011
704,3/6/2011
704,3/7/2011
704,3/8/2011
704,3/13/2011
704,3/20/2011
704,3/27/2011
705,3/8/2011
708,3/6/2011
708,3/7/2011
708,3/8/2011
708,3/12/2011
708,3/13/2011
708,3/19/2011
708,3/20/2011
708,3/26/2011
708,3/27/2011
709,3/6/2011
709,3/7/2011
709,3/8/2011
709,3/12/2011
709,3/13/2011
709,3/19/2011
709,3/20/2011
709,3/26/2011
709,3/27/2011
715,3/6/2011
715,3/7/2011
715,3/8/2011
715,3/12/2011
715,3/13/2011
715,3/19/2011
715,3/20/2011
715,3/26/2011
715,3/27/2011
728,3/6/2011
728,3/8/2011
728,3/13/2011
728,3/20/2011
728,3/27/2011
732,3/5/2011
732,3/6/2011
732,3/7/2011
732,3/8/2011
732,3/13/2011
732,3/19/2011
732,3/20/2011
732,3/26/2011
732,3/27/2011
735,3/7/2011
735,3/8/2011
735,3/13/2011
735,3/20/2011
735,3/27/2011
749,3/6/2011
