REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
1,45,09807247,1027739082106,1,044525545,9/1/2013,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",1,22
2,40,11157058,1027800000250,2,044030869,9/1/2013,"ЗАО ""КАБ ""Викинг""","191002 Санкт-Петербург, Владимирский пр. дом 17",1,31
5,45,09808117,1027739069478,5,044583501,9/1/2013,"Банк ""Кредит-Москва"" (ОАО)","115054,  г. Москва, 6-й Монетчиковский пер., д. 8, стр. 1",1,31
18,45,06905897,1037711012525,18,044585718,9/1/2013,"ОАО КБ ""Стройкредит""","109544, г. Москва, ул. Большая Андроньевская, д. 17",1,27
21,05,09241840,1022500001325,21,040507717,9/1/2013,"ООО ""Примтеркомбанк""","690091, Приморский край, г. Владивосток, ул. Адмирала Фокина, 25",1,27
23,36,09806035,1026300002200,23,043678700,9/1/2013,ОАО Банк АВБ,"445021, Самарская обл., г.Тольятти, ул.Голосова, 26 А",1,22
52,40,05437279,1027800001261,52,044030754,9/1/2013,"ОАО ""Энергомашбанк""","195027, Российская Федерация,  г. Санкт-Петербург, Пискаревский пр., дом 2, корп. 2, лит.Щ",1,31
53,40,05435949,1027800000194,53,044030755,9/1/2013,"ОАО Банк ""АЛЕКСАНДРОВСКИЙ""","191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",1,31
55,45,09806271,1027739270294,55,044583303,9/1/2013,"ОАО МАБ ""Темпбанк""","109044,  г. Москва, ул. Крутицкий вал, д. 26, строение 2",1,31
65,65,09806207,1026600001955,65,046577768,9/1/2013,"ООО КБ ""КОЛЬЦО УРАЛА""","620075, Свердловская область, г.Екатеринбург, ул. Горького, д.7",1,31
67,92,09265941,1021600000289,67,049205770,9/1/2013,"АКБ ""Энергобанк"" (ОАО)","420111, Республика Татарстан,  г.Казань, ул.Пушкина, д.13/52",1,20
77,45,05838400,1027700568224,77,044583125,9/1/2013,МОРСКОЙ БАНК (ОАО),"117105, г. Москва, Варшавское шоссе, дом 1, строение 1-2",1,22
