REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
1,45,09807247,1027739082106,1,044525545,10/1/2012,ЗАО ЮниКредит Банк,"119034,  г. Москва, Пречистенская набережная, д.9",20
2,40,11157058,1027800000250,2,044030869,10/1/2012,"ЗАО ""КАБ ""Викинг""","191002 Санкт-Петербург, Владимирский пр. дом 17",30
5,45,09808117,1027739069478,5,044583501,10/1/2012,"Банк ""Кредит-Москва"" (ОАО)","115054,  г. Москва, 6-й Монетчиковский пер., д. 8, стр. 1",30
18,45,06905897,1037711012525,18,044585718,10/1/2012,"ОАО КБ ""Стройкредит""","109544, г. Москва, ул. Большая Андроньевская, д. 17",20
21,05,09241840,1022500001325,21,040507717,10/1/2012,"ООО ""Примтеркомбанк""","690091, Приморский край, г. Владивосток, ул. Адмирала Фокина, 25",25
23,36,09806035,1026300002200,23,043678700,10/1/2012,ОАО Банк АВБ,"445021, Самарская обл., г.Тольятти, ул.Голосова, 26 А",20
52,40,05437279,1027800001261,52,044030754,10/1/2012,"ОАО ""Энергомашбанк""","195027, Российская Федерация,  г. Санкт-Петербург, Пискаревский пр., дом 2, корп. 2, лит.Щ",30
53,40,05435949,1027800000194,53,044030755,10/1/2012,"ОАО Банк ""АЛЕКСАНДРОВСКИЙ""","191119, Санкт-Петербург, Загородный пр., 46, литер Б, корпус 2",30
55,45,09806271,1027739270294,55,044583303,10/1/2012,"ОАО МАБ ""Темпбанк""","109044,  г. Москва, ул. Крутицкий вал, д. 26, строение 2",30
65,65,09806207,1026600001955,65,046577768,10/1/2012,"ООО КБ ""КОЛЬЦО УРАЛА""","620075, Свердловская область, г.Екатеринбург, ул. Горького, д.7",30
67,92,09265941,1021600000289,67,049205770,10/1/2012,"АКБ ""Энергобанк"" (ОАО)","420021, г.Казань, ул.Сары Садыковой, д.32",20
77,45,05838400,1027700568224,77,044583125,10/1/2012,МОРСКОЙ БАНК (ОАО),"127055,  г. Москва, ул. Сущевская,  д. 19, стр. 7",20
85,05,09241863,1022500001930,85,040518780,10/1/2012,"ОАО КБ ""САММИТ БАНК""","692806, Приморский край, г.Большой Камень , ул. Гагарина,37",20
96,32,09806360,1024200001891,96,043207720,10/1/2012,"ОАО ""Кемсоцинбанк""","650000, Кемеровская область, г.Кемерово, Центральный район, ул.Дзержинского, дом № 12",20
101,50,16578422,1055400000369,101,045005820,10/1/2012,"ОАО ""БКС Банк""","630099, г. Новосибирск, ул. Советская, д.18",25
103,45,29313458,1027739480548,103,044585749,10/1/2012,"ООО ""РКБ""","115054,  г. Москва, ул. Бахрушина, дом 23, строение 2",20
106,60,09806526,1026100002026,106,046015860,10/1/2012,"ОАО АКБ ""Сельмашбанк""","344029, г. Ростов-на-Дону, пр. Сельмаш, 102",26
107,45,09806319,1023900001070,107,044585729,10/1/2012,"АКБ ""Инвестбанк"" (ОАО)","109240, г.Москва, ул. Гончарная, д. 12, стр. 1",30
121,45,09806868,1027739198387,121,044525514,10/1/2012,"ЗАО АКБ ""ЦентроКредит""","119017,  г. Москва, ул.Пятницкая, д.31/2, стр. 1",30
138,41,09806957,1027800004517,138,044106725,10/1/2012,"ОАО ""Рускобанк""","188640, Ленинградская область, город Всеволожск, Всеволожский проспект, дом 29",30
142,05,09806970,1032500000532,142,040507713,10/1/2012,"ЗАО ""ДАЛТА-БАНК""","690003, г.Владивосток, ул.Станюковича, 3",20
149,29,09808560,1024900000180,149,042908746,10/1/2012,"АКБ ""Надежный банк"" (ОАО)","248000, г. Калуга, ул. Ленина, 102-а",20
153,65,09808005,1026600000602,153,046568782,10/1/2012,"ЗАО ""Уралприватбанк""","Россйская Федерация, 620219, город Екатеринбург, ул. Первомайская, д. 26",30
155,45,09806153,1027739284099,155,044552108,10/1/2012,"ООО КБСИ ""Стройиндбанк""","109004, Москва, ул. Александра Солженицына, д. 8, стр. 1",20
