REGN,C1_1,C2_1
1,8700.0,7836920
1,8700.1,7836920
1,8700.2,7836920
1,8702,44781
1,8703.0,54453284
1,8703.1,54453284
1,8703.2,54453284
1,8704.0,1312862
1,8704.1,1312862
1,8704.2,1312862
1,8705,1
1,8707.0,1859975
1,8707.1,1859975
1,8707.2,1859975
1,8708.0,14104651
1,8708.1,14104651
1,8708.2,14104651
1,8709.0,470887
1,8709.2,470887
1,8709.1,470887
1,8710.0,267184140
1,8710.1,267184140
1,8710.2,267184140
1,8711.0,487
1,8711.1,487
1,8711.2,487
1,8712.0,1955469
1,8712.1,1955469
1,8712.2,1955469
1,8713.0,48520592
1,8713.1,48520592
1,8713.2,48520592
1,8734,1023317
1,8735,507799
1,8736,1907326
1,8737,2113516
1,8801.0,1859975
1,8801.1,1859975
1,8801.2,1859975
1,8806,6006795
1,8807,4164322
1,8810.1,91780539
1,8810.0,91780539
1,8810.2,91780539
1,8811,74561257
1,8812.2,82863606
1,8812.0,82863606
1,8812.1,82863606
1,8813.2,9770488
1,8813.0,9770488
1,8813.1,9770488
1,8814.0,13170242
1,8814.2,13170242
1,8814.1,13170242
1,8817.1,35641179
1,8817.2,35641179
1,8817.0,35641179
1,8818.1,47854867
1,8818.0,47854867
1,8818.2,47854867
1,8821,488164
1,8822,666456
1,8825.0,4707
1,8825.2,4707
1,8825.1,4707
1,8826.2,7061
1,8826.1,7061
1,8826.0,7061
1,8827.1,53147
1,8827.0,53147
1,8827.2,53147
1,8828.1,79721
1,8828.0,79721
1,8828.2,79721
1,8829.0,492584
1,8829.1,492584
1,8829.2,492584
1,8830.0,687596
1,8830.1,687596
1,8830.2,687596
1,8831,11035116
1,8832,9236066
1,8833.0,395692
1,8833.1,395692
1,8833.2,395692
1,8834.1,497077
1,8834.0,497077
1,8834.2,497077
1,8839,78372
1,8840,221976
1,8846,6162830
1,8847,546527
1,8848,6076934
1,8853,1564443
1,8854,1799508
1,8855.0,1783139
1,8855.1,1783139
1,8855.2,1783139
1,8856.1,1306280
1,8856.0,1306280
1,8856.2,1306280
1,8857.1,2676960
1,8857.0,2676960
1,8857.2,2676960
1,8858,227
1,8858.1,90230
1,8860,254
1,8860.1,94270
1,8861,13
1,8861.1,12916
1,8862.1,192
1,8863,4
1,8863.1,79306
1,8863.2,5062
1,8863.3,14426
1,8864.1,33205
1,8865.1,225583
1,8866,110566112
1,8868,3117922
1,8877,736441
1,8878.1,490960
1,8878.2,460282
1,8879,2378105
1,8902,29844703
1,8904,790984
1,8909,16651387
1,8910,88155813
1,8911,148895
1,8912.0,14104651
1,8912.1,14104651
1,8912.2,14104651
