REGN,C1_3,C2_3,C3_3,C4_3
1,Í1.0,12.90,,
1,Í1.1,9.58,,
1,Í1.2,9.58,,
1,Í2,140.19,,
1,Í3,230.50,,
1,Í4,65.23,,
1,Í7,239.16,,
1,Í9.1,0.00,,
1,Í10.1,0.16,,
1,Í12,0.29,,
1,Í18,104.76,,
2,Í1.0,28.30,,
2,Í1.1,24.27,,
2,Í1.2,24.27,,
2,Í2,44.40,,
2,Í3,91.84,,
2,Í4,6.84,,
2,Í7,99.40,,
2,Í9.1,0.56,,
2,Í10.1,0.58,,
2,Í12,0.00,,
5,Í1.0,11.25,,
5,Í1.1,7.98,,
5,Í1.2,7.98,,
5,Í2,40.19,,
5,Í3,112.55,,
5,Í4,89.19,,
5,Í7,421.05,,
5,Í9.1,1.07,,
5,Í10.1,1.73,,
5,Í12,0.00,,
21,Í1.0,30.75,,
21,Í1.1,25.05,,
21,Í1.2,25.05,,
21,Í2,122.42,,
21,Í3,124.36,,
21,Í4,42.83,,
21,Í7,93.62,,
21,Í9.1,6.02,,
21,Í10.1,1.85,,
21,Í12,0.00,,
52,Í1.0,15.23,,
52,Í1.1,10.75,,
52,Í1.2,10.75,,
52,Í2,95.63,,
52,Í3,103.26,,
52,Í4,53.21,,
52,Í7,274.65,,
52,Í9.1,0.14,,
52,Í10.1,0.87,,
52,Í12,0.00,,
53,Í1.0,14.52,,
53,Í1.1,9.44,,
53,Í1.2,9.44,,
53,Í2,74.46,,
53,Í3,89.18,,
53,Í4,45.95,,
53,Í7,298.90,,
53,Í9.1,0.05,,
53,Í10.1,0.43,,
53,Í12,0.00,,
55,Í1.0,10.35,,
55,Í1.1,6.21,,
55,Í1.2,6.21,,
55,Í2,93.90,,
55,Í3,99.77,,
55,Í4,57.20,,
55,Í7,475.59,,
55,Í9.1,0.91,,
55,Í10.1,0.39,,
55,Í12,0.00,,
65,Í1.0,13.66,,
65,Í1.1,6.44,,
65,Í1.2,6.44,,
65,Í2,26.26,,
65,Í3,89.12,,
65,Í4,66.89,,
65,Í7,286.23,,
65,Í9.1,0.00,,
65,Í10.1,1.35,,
65,Í12,0.00,,
67,Í1.0,20.08,,
67,Í1.1,16.70,,
67,Í1.2,16.70,,
67,Í2,74.13,,
67,Í3,71.89,,
67,Í4,93.62,,
67,Í7,178.44,,
67,Í9.1,0.15,,
67,Í10.1,0.44,,
67,Í12,0.00,,
77,Í1.0,14.62,,
77,Í1.1,7.86,,
77,Í1.2,7.86,,
77,Í2,52.82,,
77,Í3,97.95,,
77,Í4,55.43,,
77,Í7,347.17,,
77,Í9.1,0.00,,
77,Í10.1,0.38,,
77,Í12,0.00,,
85,Í1.0,25.24,,
85,Í1.1,15.38,,
85,Í1.2,15.38,,
85,Í2,378.88,,
85,Í3,339.76,,
85,Í4,64.13,,
85,Í7,174.71,,
85,Í9.1,0.00,,
85,Í10.1,2.49,,
85,Í12,0.00,,
96,Í1.0,22.96,,
96,Í1.1,22.54,,
96,Í1.2,22.54,,
96,Í2,130.03,,
96,Í3,155.31,,
96,Í4,51.74,,
96,Í7,215.88,,
96,Í9.1,0.00,,
96,Í10.1,1.15,,
96,Í12,0.00,,
101,Í1.0,13.30,,
101,Í1.1,12.63,,
101,Í1.2,12.63,,
101,Í2,106.85,,
101,Í3,140.65,,
