"ОАО "Банк БФА";3038
"НКО "Транштрейд" ООО";2676
"АО Банк "Объединенный капитал";2611
"ООО КБ "Лайтбанк";3177
"ООО "Крона-Банк";2499
"ООО "КЭБ БАНК РУС";3525
ББР Банк (ЗАО);2929
"ООО КБ "Металлург";2877
"ООО КБ "Тайдон";2085
"ОАО "Кемсоцинбанк";96
"АКБ "ЭНО" (ОАО)";1988
РНКБ (ОАО);1354
"ООО "Банк БЦК-Москва";3480
"КБ "Геобанк" (ООО)";2027
"МБА-МОСКВА" ООО";3395
"КБ "РБА" (ООО)";3413
"АО "КАБ "Викинг";2
"НКО "Финансовые услуги" (ООО)";3496
"ЗАО "МОССТРОЙЭКОНОМБАНК";948
"АКБ "Абсолют Банк" (ОАО)";2306
"ЗАО "ГЕНБАНК";2490
"ООО КБ "ИКФ";3435
"КБ "МИКО-БАНК" ООО";3195
"Банк "ВБРР" (АО)";3287
"АКБ "Мострансбанк" ОАО";2258
"ОАО КБ "КЕДР";1574
"ООО КБ "ИНВЕСТСОЦБАНК";3010
ООО РИТ-банк;2677
"АО АКБ "ЭКСПРЕСС-ВОЛГА";3085
"ООО КБ "Интеркапитал-Банк";2706
"КБ "Интеркредит" (ЗАО)";3047
"АКБ "РОССИЙСКИЙ КАПИТАЛ" (ОАО)";2312
"Фреско банк" (ЗАО)";1415
"АО БАНК "РКБ";836
"ЗАО "КАБ "Викинг";2
Банк СБРР (ООО);1284
"Азиатско-Тихоокеанский Банк" (ОАО)";1810
"Банк "ГПБ-Ипотека" (АО)";2403
"ОАО "Банк Москвы";2748
"ПАО "САРОВБИЗНЕСБАНК";2048
"АО "БКС Банк";101
"ОАО АКЗБ "ДЕРБЕНТ-КРЕДИТ";2090
"АКБ "ВПБ" (ЗАО)";3065
"АКБ "ЛУЖНИКИ-БАНК";2462
"ОАО "Инвестиционный Городской Банк";2534
"ЗАО "Народный банк";2249
"КБ "НЕФТЯНОЙ АЛЬЯНС" (ОАО)";2859
"НОТА-Банк" (ПАО)";2913
"ОАО "ВУЗ-банк";1557
"ПАО "Социнвестбанк";1132
"Банк "Еврокредит" (ООО)";2957
"ЗАО АКБ "РОСТРАБАНК";1684
"ЗАО "Современный Коммерческий Банк";3316
"ООО НКО "МОБИ.Деньги";3523
"АКБ "Кранбанк" (ЗАО)";2271
"Коммерческий банк "ВРБ" (ООО)";3499
"ООО НКО "Мурманский расчетный центр";3341
"АКБ "СВА" (АО)";2768
"КБСР "Дагестан" ООО";543
"ОАО "Смоленский Банк";2029
"ООО "Экспобанк";2998
"ОАО КБ "ФорБанк";2063
"Банк "РЕСО Кредит" (АО)";3450
"КБ "ЭНЕРГОТРАНСБАНК" (ОАО)";1307
"АО "Банк ЖилФинанс";3138
"ООО КБ "МИЛБАНК";3256
"ПАО "Уралтрансбанк";812
"Банк "Нальчик" ООО";695
"РНКО "ФРЦ" ЗАО";3319
"ЗАО АКБ "Сибирьгазбанк";3042
"АО АКБ "ГАЗСТРОЙБАНК";2919
ББР Банк (АО);2929
"ОАО Банк "Алемар";2384
"ООО КБ "НЕВАСТРОЙИНВЕСТ";1926
"ОАО "Принтбанк";546
"АО БАНК "РСКБ";2050
"ООО "МКС";3242
"ОАО "СМП Банк";3368
"ООО "Азия Банк";3183
ЗАО НКО МРЦ;3325
"ЗАО АКБ "Алеф-Банк";2119
"АО КБ "Златкомбанк";568
"ЗАО "СМБ-Банк";3504
"ЗАО "СМАРТБАНК";3408
"ОАО АКБ "Сельмашбанк";106
"ООО КБ "ПЛАТИНА";2347
"ОАО ИКБ "Совкомбанк";963
"АО "Уралприватбанк";153
"БАНК "РЕЗЕРВ" (АО)";2364
"ОАО АКБ "Орскиндустриябанк";696
"ЗАО "ОРБАНК";937
"ПАО Банк "ВВБ";1093
"АКБ "ИНТЕРКООПБАНК" (ОАО)";2803
"ЗАО КБ "РУБанк";2813
"НКО "ОРС" (ОАО)";3342
"ОАО "Бузулукбанк";1282
"АО КБ "Северный Кредит";2398
"РИАБАНК" (АО)";3434
"КБ "НМБ" ООО";2932
"ООО РНКО "УМУТ";2435
"ООО "Костромаселькомбанк";1115
"ПАО "Промсвязьбанк";3251
"АКБ "ТЕНДЕР-БАНК" (АО)";2252
"ОАО "ЛЕСПРОМБАНК";1835
"ЗАО Банк "Вологдабанк";992
"КБ "ОББ" (ООО)";3491
"НКО "Транзит" ООО";2688
"КБ "Кутузовский" ООО";3190
"ЗАО АКБ "НОВИКОМБАНК";2546
"ЗАО "БАРЕНЦБАНК";2188
"АНКОР БАНК" (ОАО)";889
Санкт-Петербургский банк инвестиций (АО);3468
"Единый Строительный Банк" (ООО)";3506
"ОАО "БАЛТИНВЕСТБАНК";3176
"ООО КБ "Донинвест";1617
"Банк "Левобережный" (ПАО)";1343
"АО "МСП Банк";3340
"ОАО НКО "Городской расчетный центр";3346
"ООО "Барклайс Банк";2998
"АО НКО "Частный РКЦ";3420
"БМВ Банк" ООО";3482
"КБ "РМБ" ЗАО";3123
"ЗАО КБ "Свенска Хандельсбанкен";3455
"ООО "РНКО "ВЕСТ";2605
"ПАО "Крайинвестбанк";3360
"ОАО КБ "ИВАНОВО";1763
"АКБ "Акция" ОАО";927
"ООО "СПЕЦСТРОЙБАНК";236
"ПАО "Липецккомбанк";1242
"КБ "СТРОЙЛЕСБАНК" (ООО)";2995
(ОАО Удмуртинвестстройбанк);2447
"ПАО МАБ "Темпбанк";55
"АО "Автоградбанк";1455
"ОАО СКБ Приморья "Примсоцбанк";2733
"АО "РУНА-БАНК";3207
"ООО "КБ "Тальменка-банк";826
